Student_ID,Teacher_ID
5,1
10,1
15,1
20,1
25,1
30,1
35,1
40,1
45,1
50,1
55,1
60,1
65,1
70,1
75,1
80,1
85,1
90,1
95,1
100,1
105,1
110,1
115,1
120,1
125,1
130,1
135,1
140,1
145,1
150,1
155,1
160,1
165,1
170,1
175,1
180,1
185,1
190,1
195,1
200,1
205,1
210,1
215,1
220,1
225,1
230,1
235,1
240,1
245,1
250,1
255,1
260,1
265,1
270,1
275,1
280,1
285,1
290,1
295,1
300,1
305,1
310,1
315,1
320,1
325,1
330,1
335,1
340,1
345,1
350,1
355,1
360,1
365,1
370,1
375,1
380,1
385,1
390,1
395,1
400,1
405,1
410,1
415,1
420,1
425,1
430,1
435,1
440,1
445,1
450,1
455,1
460,1
465,1
470,1
475,1
480,1
485,1
490,1
495,1
500,1
505,1
510,1
515,1
520,1
525,1
530,1
535,1
540,1
545,1
550,1
555,1
560,1
565,1
570,1
575,1
580,1
585,1
590,1
595,1
600,1
605,1
610,1
615,1
620,1
625,1
630,1
635,1
640,1
645,1
650,1
655,1
660,1
665,1
670,1
675,1
680,1
685,1
690,1
695,1
700,1
705,1
710,1
715,1
720,1
725,1
730,1
735,1
740,1
745,1
750,1
755,1
760,1
765,1
770,1
775,1
780,1
785,1
790,1
795,1
800,1
805,1
810,1
815,1
820,1
825,1
830,1
835,1
840,1
845,1
850,1
855,1
860,1
865,1
870,1
875,1
880,1
885,1
890,1
895,1
900,1
905,1
910,1
915,1
920,1
925,1
930,1
935,1
940,1
945,1
950,1
955,1
960,1
965,1
970,1
975,1
980,1
985,1
990,1
995,1
1000,1
1,2
6,2
11,2
16,2
21,2
26,2
31,2
36,2
41,2
46,2
51,2
56,2
61,2
66,2
71,2
76,2
81,2
86,2
91,2
96,2
101,2
106,2
111,2
116,2
121,2
126,2
131,2
136,2
141,2
146,2
151,2
156,2
161,2
166,2
171,2
176,2
181,2
186,2
191,2
196,2
201,2
206,2
211,2
216,2
221,2
226,2
231,2
236,2
241,2
246,2
251,2
256,2
261,2
266,2
271,2
276,2
281,2
286,2
291,2
296,2
301,2
306,2
311,2
316,2
321,2
326,2
331,2
336,2
341,2
346,2
351,2
356,2
361,2
366,2
371,2
376,2
381,2
386,2
391,2
396,2
401,2
406,2
411,2
416,2
421,2
426,2
431,2
436,2
441,2
446,2
451,2
456,2
461,2
466,2
471,2
476,2
481,2
486,2
491,2
496,2
501,2
506,2
511,2
516,2
521,2
526,2
531,2
536,2
541,2
546,2
551,2
556,2
561,2
566,2
571,2
576,2
581,2
586,2
591,2
596,2
601,2
606,2
611,2
616,2
621,2
626,2
631,2
636,2
641,2
646,2
651,2
656,2
661,2
666,2
671,2
676,2
681,2
686,2
691,2
696,2
701,2
706,2
711,2
716,2
721,2
726,2
731,2
736,2
741,2
746,2
751,2
756,2
761,2
766,2
771,2
776,2
781,2
786,2
791,2
796,2
801,2
806,2
811,2
816,2
821,2
826,2
831,2
836,2
841,2
846,2
851,2
856,2
861,2
866,2
871,2
876,2
881,2
886,2
891,2
896,2
901,2
906,2
911,2
916,2
921,2
926,2
931,2
936,2
941,2
946,2
951,2
956,2
961,2
966,2
971,2
976,2
981,2
986,2
991,2
996,2
2,3
7,3
12,3
17,3
22,3
27,3
32,3
37,3
42,3
47,3
52,3
57,3
62,3
67,3
72,3
77,3
82,3
87,3
92,3
97,3
102,3
107,3
112,3
117,3
122,3
127,3
132,3
137,3
142,3
147,3
152,3
157,3
162,3
167,3
172,3
177,3
182,3
187,3
192,3
197,3
202,3
207,3
212,3
217,3
222,3
227,3
232,3
237,3
242,3
247,3
252,3
257,3
262,3
267,3
272,3
277,3
282,3
287,3
292,3
297,3
302,3
307,3
312,3
317,3
322,3
327,3
332,3
337,3
342,3
347,3
352,3
357,3
362,3
367,3
372,3
377,3
382,3
387,3
392,3
397,3
402,3
407,3
412,3
417,3
422,3
427,3
432,3
437,3
442,3
447,3
452,3
457,3
462,3
467,3
472,3
477,3
482,3
487,3
492,3
497,3
502,3
507,3
512,3
517,3
522,3
527,3
532,3
537,3
542,3
547,3
552,3
557,3
562,3
567,3
572,3
577,3
582,3
587,3
592,3
597,3
602,3
607,3
612,3
617,3
622,3
627,3
632,3
637,3
642,3
647,3
652,3
657,3
662,3
667,3
672,3
677,3
682,3
687,3
692,3
697,3
702,3
707,3
712,3
717,3
722,3
727,3
732,3
737,3
742,3
747,3
752,3
757,3
762,3
767,3
772,3
777,3
782,3
787,3
792,3
797,3
802,3
807,3
812,3
817,3
822,3
827,3
832,3
837,3
842,3
847,3
852,3
857,3
862,3
867,3
872,3
877,3
882,3
887,3
892,3
897,3
902,3
907,3
912,3
917,3
922,3
927,3
932,3
937,3
942,3
947,3
952,3
957,3
962,3
967,3
972,3
977,3
982,3
987,3
992,3
997,3
3,4
8,4
13,4
18,4
23,4
28,4
33,4
38,4
43,4
48,4
53,4
58,4
63,4
68,4
73,4
78,4
83,4
88,4
93,4
98,4
103,4
108,4
113,4
118,4
123,4
128,4
133,4
138,4
143,4
148,4
153,4
158,4
163,4
168,4
173,4
178,4
183,4
188,4
193,4
198,4
203,4
208,4
213,4
218,4
223,4
228,4
233,4
238,4
243,4
248,4
253,4
258,4
263,4
268,4
273,4
278,4
283,4
288,4
293,4
298,4
303,4
308,4
313,4
318,4
323,4
328,4
333,4
338,4
343,4
348,4
353,4
358,4
363,4
368,4
373,4
378,4
383,4
388,4
393,4
398,4
403,4
408,4
413,4
418,4
423,4
428,4
433,4
438,4
443,4
448,4
453,4
458,4
463,4
468,4
473,4
478,4
483,4
488,4
493,4
498,4
503,4
508,4
513,4
518,4
523,4
528,4
533,4
538,4
543,4
548,4
553,4
558,4
563,4
568,4
573,4
578,4
583,4
588,4
593,4
598,4
603,4
608,4
613,4
618,4
623,4
628,4
633,4
638,4
643,4
648,4
653,4
658,4
663,4
668,4
673,4
678,4
683,4
688,4
693,4
698,4
703,4
708,4
713,4
718,4
723,4
728,4
733,4
738,4
743,4
748,4
753,4
758,4
763,4
768,4
773,4
778,4
783,4
788,4
793,4
798,4
803,4
808,4
813,4
818,4
823,4
828,4
833,4
838,4
843,4
848,4
853,4
858,4
863,4
868,4
873,4
878,4
883,4
888,4
893,4
898,4
903,4
908,4
913,4
918,4
923,4
928,4
933,4
938,4
943,4
948,4
953,4
958,4
963,4
968,4
973,4
978,4
983,4
988,4
993,4
998,4
4,5
9,5
14,5
19,5
24,5
29,5
34,5
39,5
44,5
49,5
54,5
59,5
64,5
69,5
74,5
79,5
84,5
89,5
94,5
99,5
104,5
109,5
114,5
119,5
124,5
129,5
134,5
139,5
144,5
149,5
154,5
159,5
164,5
169,5
174,5
179,5
184,5
189,5
194,5
199,5
204,5
209,5
214,5
219,5
224,5
229,5
234,5
239,5
244,5
249,5
254,5
259,5
264,5
269,5
274,5
279,5
284,5
289,5
294,5
299,5
304,5
309,5
314,5
319,5
324,5
329,5
334,5
339,5
344,5
349,5
354,5
359,5
364,5
369,5
374,5
379,5
384,5
389,5
394,5
399,5
404,5
409,5
414,5
419,5
424,5
429,5
434,5
439,5
444,5
449,5
454,5
459,5
464,5
469,5
474,5
479,5
484,5
489,5
494,5
499,5
504,5
509,5
514,5
519,5
524,5
529,5
534,5
539,5
544,5
549,5
554,5
559,5
564,5
569,5
574,5
579,5
584,5
589,5
594,5
599,5
604,5
609,5
614,5
619,5
624,5
629,5
634,5
639,5
644,5
649,5
654,5
659,5
664,5
669,5
674,5
679,5
684,5
689,5
694,5
699,5
704,5
709,5
714,5
719,5
724,5
729,5
734,5
739,5
744,5
749,5
754,5
759,5
764,5
769,5
774,5
779,5
784,5
789,5
794,5
799,5
804,5
809,5
814,5
819,5
824,5
829,5
834,5
839,5
844,5
849,5
854,5
859,5
864,5
869,5
874,5
879,5
884,5
889,5
894,5
899,5
904,5
909,5
914,5
919,5
924,5
929,5
934,5
939,5
944,5
949,5
954,5
959,5
964,5
969,5
974,5
979,5
984,5
989,5
994,5
999,5
